translate-be9bc7f0-69bd-4c76-920c-b88e448d5f0b,Insufficient props,道具不足
translate-58eba44f-7288-4358-aca9-34df0534031b,Macaque field,猕猴田
translate-84d9fe18-ab74-4bd9-8f6a-92c3876379b7,Sacrifice ...,祭祀中……
translate-024ab533-434b-478d-adfc-4ff3af34b399,Life Cave,来生洞穴
translate-a172dde1-1e15-4158-9be4-fe51482f5bf8,Mint field,薄荷田
translate-3fc2ea1b-061e-4c50-821b-7ac6bda6bc67,A empty ice box can save meat.,"一个空冰盒,可以存肉。"
translate-fe1908c8-5d75-4875-b849-42198e69e52a,Ice box (empty),冰盒（空）
translate-8eacb050-3d9c-40dd-aa72-a8f3d8be9a82,A ice box can save meat, and now there is something in it.,"一个冰盒,可以存肉,现在里面有东西。"
translate-8e9d58d8-5a27-4aa7-a3f8-f97a34a65719,ice box,冰盒
translate-d0c13166-fab1-4324-9f53-31c6223a666b,Get out of the item,取出物品
translate-835f7e01-196d-4574-bec0-c32a266074dd,Type of meat,肉的种类
translate-a6a88262-8552-4188-a12a-bb0c3fb0ce92,Number of meat,肉的数量
translate-d06b4976-516c-4768-8ae4-f161d3e3aa29,The ice box is empty,冰盒空了
translate-303a1b14-d447-47e3-8069-063365fdd822,Broken darkness with thunder!,以惊雷击碎黑暗！
translate-7a6b5ad0-0197-4d7f-8caf-f0b710073b6d,It helps me introduce water.,它能帮助我引入水源。
translate-133bea36-d41f-47be-83ba-c3f24279f055,Canal,水渠
translate-a3001246-ba71-477f-b7c3-6b08133a9bdb,An artificially excavated canal.,一条人工开凿的水渠。
translate-3bc8793b-5fac-486f-a2b3-cc0f05f2e0ee,A sticky mouse plate can effectively avoid mice.,"一块粘鼠板,能有效避免老鼠出没。"
translate-3b4daa33-bc4e-4df7-90af-cce24566cc5d,Sticky mouse board,粘鼠板
translate-1925ccdc-be72-46e9-aeae-b65a3d2f3287,Transform,改造
translate-b051f7d9-2d7c-4370-b7f6-04ff6dd06023,Jinzheng's garbage can make Tian mature instantly.,"金坷垃,能让田瞬间成熟。"
Guil-催熟,Cooked,催熟
translate-822ce3f9-7643-49bc-aa40-48515d2559f8,Jinkela,金坷垃
translate-bc492bcb-a43e-492b-8bbe-9d82f5bea3dc,"With the power of elements, we will resist natural disasters!","携元素之力,共抗天灾！"
translate-1bc28837-adfb-48e6-aa30-1d400843317f,Elemental force,元素之力
translate-9e521bb0-7494-4157-98da-4f24d5338b9f,Are you a hamster player? Try the blessing of the power of light and darkness!,你是仓鼠玩家？来试试光暗之力的庇佑吧！
translate-167e667f-8ebe-4d73-9faa-2bd784f1aa87,Glory,光暗加护
translate-28cd9b4a-7060-4b6c-8501-057f1295f742,"You have the power of a strong dragon, which greatly improves your weight.","你拥有强大的巨龙之力,极大的提高了你的负重能力。"
translate-d7ff3ce6-06cf-423e-9e49-1171ea017975,Dragon power,巨龙之力
translate-9db1b38c-b1b6-4993-92fd-5b11e5160c8a,The implication of the shadow is the weakened version of the Box of Zediak.,"无影的印记,是弱化版的佐迪亚克之箱。"
translate-7a819e59-2738-4b8e-bd32-66ad875a3fbe,No Shadow Seal,无影印记
translate-bdbcfea5-afac-4e34-8331-1e974559cbd9,"You are very energetic, your endurance recovery is accelerated.","你非常有活力,你的耐力恢复加快。"
translate-b9a762f0-f03a-4728-8741-959e2865509b,Dynamic,活力无限
Pk_2_DogFriend_PerkDescription,"A powerful werewolf is your partner, and quickly turn me into a macaque!","一只强大的狼人当你的伙伴,快给我变成猕猴！"
translate-d0b6fcbf-c6b3-4183-a92c-854bf48e5239,Wolf partner,狼人伙伴
translate-7a8b8a51-0642-40fb-ba6f-aaefc6a9998e,Start with entangled swamps,从纠缠沼泽开始
translate-f708314d-d511-4325-96b4-94d406baa4c4,Swirry,纠缠沼泽
translate-606c53d9-fb09-4e40-b90d-44878f46ea15,"You don't know where you will start, everything is unknown ...","你不知道你将从哪里开始,一切都是未知数……"
translate-fe512bae-a406-4295-a625-52af725be132,Random start,随机开局
translate-d0bd3371-7b39-4f44-8a30-867c93ce6054,The cost of fierce battle -pain and happiness.,激战的代价——痛并快乐着。
translate-6041fa6f-cfa9-49e0-9df8-03a01e963dd3,Cost of fierce warfare,激战的代价
translate-3ab37982-7e63-4369-9d6d-6bcb579b1d38,You feel some pain,你感觉有一些疼痛
translate-f477dae5-bc44-4369-9046-a81f5d993fd9,Slight price,轻微的代价
translate-86709559-654f-4632-99a3-867c47c21c03,"Ah, how serious the cost of fierce war!","啊,多么严重的激战代价啊！"
translate-ad96ad9b-f6ce-4377-8509-d304e5f025c8,Serious price,严重的代价
translate-df0c33be-c25c-4ccf-8740-a65ccbdf046d,A bottle of Holy Spirit medicine can treat most of the bite and abrasions.,"一瓶圣灵药,可以治疗大部分的咬伤和擦伤。"
translate-fc2bc00c-7cb3-4e12-a9ff-e17db51b67a7,Holy Spirit,圣灵药
translate-98b2a3b3-7dd5-41a0-b682-c5219bbfafe0,It requires higher herbs skills,需要更高的药草学技能
translate-70100d1a-319d-4425-99f2-526d9ed5337e,A bottle of Holy Spirit medicine can treat most bite and abrasions.,"一瓶圣灵药,可以治疗大部分咬伤和擦伤。"
translate-f3abf53d-047d-4daf-8cb5-69e59a80d633,treat,治疗
translate-e5694769-fad8-4a23-abf0-94c4da4fcd5a,A life altar.,一座生命祭坛。
translate-975f6c5f-60f8-41dd-a186-44eff2884c5f,Altar,生命祭坛
translate-1f65eb1b-043b-4b36-ab15-1a6111bd57c9,A mysterious altar can offer organic matter.,"一个神秘的祭坛,可以献上有机物。"
translate-3f7791be-a34a-413e-bb62-580d3f06fc70,Your body is beaten on the mark of the earth, and you can turn thin or dry soil into mud piles.,"你的身体被打上了大地印记,你可以把细土或干土堆变成泥堆。"
translate-0374d0f5-f19e-461f-9360-dae5c694487b,Turn into mud piles,化为泥堆
translate-40e7ab2c-44bf-4aef-84f3-3abec83d8cc0,The power of the earth,大地之力
translate-96e6ac45-d9ab-4b17-86bd-c2d254bcad89,Turn into clay,化为粘土
translate-c793cb9b-329b-4b5f-b4ac-f47d6aa9428f,Dadi Seal,大地印记
translate-41652d31-1941-4199-97b7-f0856c4d6bdb,Your body is beaten on the mark of cold, and the food around you will not be broken.,"你的身体被打上了凛寒印记,你周围的食物不会腐坏。"
translate-5d323ad6-2a59-487b-b243-e38cb1020056,Rinse Cold Mark,凛寒印记
translate-0aad2ebf-c776-41d4-aa23-f2856d884a07,"Your body is hit with a shadow mark, and your equipment will slowly recover durable.","你的身体被打上了无影印记,你的装备会缓慢恢复耐久。"
translate-6d365ab9-7831-4b2e-a883-b9742b9dbe6c,"Your body is beaten on the watermark, and the water around you will gradually increase.","你的身体被打上了渊水印记,你周围的水会逐渐增加。"
translate-33444737-3ea4-4de4-be35-c0fa91ee207a,Yuanshuimin,渊水印记
translate-27c8d483-1dc3-481c-a6cc-ac7c908affbb,"Your body is beaten on the mark of the fire, and the fire around you will not durable.","你的身体被打上了烈火印记,你周围的火不会减耐久。"
translate-7ec1e537-bc0f-4a2e-9895-37c6a79ef146,Recycling flame,回收火焰
translate-c11a248c-9103-40c4-9704-ac70a8ffd265,Fire Seal,烈火印记
translate-6b9493c5-807d-458e-abdf-cdec1fe2d58f,Get a fire,获得火种
translate-017f0283-7106-4f23-97df-58a610fe0cbd,"Your body is beaten on the stamp, and your endurance recovery speed is accelerated.","你的身体被打上了狂风印记,你的耐力恢复速度加快。"
translate-76a304a4-f3f0-454a-b6c1-695ae408b027,Cut off the wooden stick,切断木棍
translate-1596c151-2307-42ac-a06e-05faaf5565b6,Cut log,切割原木
translate-707f1c54-0114-4ec6-ba11-ebe95736e0dc,Madness,狂风印记
translate-61f611c9-3c37-463e-8b45-f3f5870019ce,"Your body is beaten with thunder mark, you can attack with thunder magic.","你的身体被打上了惊雷印记,你可以用雷魔法攻击了。"
translate-f6e92fa6-89b5-47f8-bb6f-cf7f01ec4b0f,Thunderbolt,惊雷印记
translate-af3f4a20-3188-4943-82fd-e478fd859c82,"A compressed towel, I can cut out a variety of cloth!","一块展开的压缩毛巾,我可以裁剪出各种各样的布！"
translate-a7822ed0-0657-41da-812c-e9100edd0768,Cut off,裁切
translate-2660e171-1c26-4aad-b13d-e5881fd4edea,Compressed towels (expanded),压缩毛巾（展开）
translate-c85d05be-0796-4312-9b3c-de2235958dee,Remaining cloth,剩余布料
translate-e0d1b94d-0197-4850-989d-8abe1dbecff0,Fabric,布料用完
translate-13f0bd12-0a6d-45bf-90dc-8739618a5f4a,"A compressed towel, when the water becomes bigger and higher!","一块压缩毛巾,遇水变大变高！"
translate-32d15f31-2b0f-47bc-93da-7fcfed274955,add water,加水
translate-c42c653c-c740-477d-a45d-d98097be408a,Compressed towel,压缩毛巾
translate-f43a21ca-6446-44f5-99ed-9e84bb1b007e,Caves by the sea.,在海边的洞穴。
translate-146327bf-d7d4-4db4-a3d7-2205dd12cfde,Yongxia Cave,永夏洞穴
translate-aef38ca9-d723-48fc-8a3c-461a975d8708,"Night mushrooms born in the cave are very beautiful and glowing, but for safety reasons, don't eat it.","生在在洞穴中的夜幕蘑菇,很好看,会发光,但是安全起见,还是不要吃了。"
translate-90ba9043-cc1c-4f18-b5f0-2ca5752201b5,Night mushroom,夜幕蘑菇
translate-6c948365-60d0-4d3f-b0d7-caf41ba433cb,Enter the cave,进入洞穴
